DataType;SortType;Threshold;Size;Time_ms
NearlySorted;Standard;0;13800;6.2035
NearlySorted;Standard;0;13900;5.3548
NearlySorted;Standard;0;14000;5.359
NearlySorted;Standard;0;14100;5.5494
NearlySorted;Standard;0;14200;5.4778
NearlySorted;Standard;0;14300;5.4431
NearlySorted;Standard;0;14400;6.2149
NearlySorted;Standard;0;14500;5.6018
NearlySorted;Standard;0;14600;5.6419
NearlySorted;Standard;0;14700;5.7675
NearlySorted;Standard;0;14800;5.7048
NearlySorted;Standard;0;14900;5.725
NearlySorted;Standard;0;15000;5.7688
NearlySorted;Standard;0;15100;6.0264
NearlySorted;Standard;0;15200;5.8369
NearlySorted;Standard;0;15300;5.8838
NearlySorted;Standard;0;15400;6.0101
NearlySorted;Standard;0;15500;5.9707
NearlySorted;Standard;0;15600;6.0526
NearlySorted;Standard;0;15700;6.1115
NearlySorted;Standard;0;15800;6.4089
NearlySorted;Standard;0;15900;6.2545
NearlySorted;Standard;0;16000;6.258
NearlySorted;Standard;0;16100;6.4008
NearlySorted;Standard;0;16200;6.5513
NearlySorted;Standard;0;16300;6.2914
NearlySorted;Standard;0;16400;6.267
NearlySorted;Standard;0;16500;6.2968
NearlySorted;Standard;0;16600;7.3699
NearlySorted;Standard;0;16700;6.6913
NearlySorted;Standard;0;16800;6.4057
NearlySorted;Standard;0;16900;6.5704
NearlySorted;Standard;0;17000;6.6578
NearlySorted;Standard;0;17100;7.6032
NearlySorted;Standard;0;17200;6.6829
NearlySorted;Standard;0;17300;6.6893
NearlySorted;Standard;0;17400;6.745
NearlySorted;Standard;0;17500;6.8611
NearlySorted;Standard;0;17600;6.9879
NearlySorted;Standard;0;17700;7.0703
NearlySorted;Standard;0;17800;6.8651
NearlySorted;Standard;0;17900;6.9487
NearlySorted;Standard;0;18000;6.9863
NearlySorted;Standard;0;18100;6.9791
NearlySorted;Standard;0;18200;7.1072
NearlySorted;Standard;0;18300;7.949
NearlySorted;Standard;0;18400;7.6006
NearlySorted;Standard;0;18500;7.2814
NearlySorted;Standard;0;18600;7.2842
NearlySorted;Standard;0;18700;7.3627
NearlySorted;Standard;0;18800;7.4479
NearlySorted;Standard;0;18900;7.3592
NearlySorted;Standard;0;19000;7.3352
NearlySorted;Standard;0;19100;7.4354
NearlySorted;Standard;0;19200;7.6413
NearlySorted;Standard;0;19300;7.5599
NearlySorted;Standard;0;19400;7.9259
NearlySorted;Standard;0;19500;8.1123
NearlySorted;Standard;0;19600;7.6539
NearlySorted;Standard;0;19700;7.5677
NearlySorted;Standard;0;19800;7.6893
NearlySorted;Standard;0;19900;7.8637
NearlySorted;Standard;0;20000;7.76
NearlySorted;Standard;0;20100;7.8543
NearlySorted;Standard;0;20200;7.9165
NearlySorted;Standard;0;20300;7.9763
NearlySorted;Standard;0;20400;8.519
NearlySorted;Standard;0;20500;8.1887
NearlySorted;Standard;0;20600;8.0561
NearlySorted;Standard;0;20700;8.9583
NearlySorted;Standard;0;20800;8.3229
NearlySorted;Standard;0;20900;8.4191
NearlySorted;Standard;0;21000;9.3126
NearlySorted;Standard;0;21100;8.3549
NearlySorted;Standard;0;21200;8.3567
NearlySorted;Standard;0;21300;8.4582
NearlySorted;Standard;0;21400;8.3922
NearlySorted;Standard;0;21500;8.4337
NearlySorted;Standard;0;21600;8.4018
NearlySorted;Standard;0;21700;8.4876
NearlySorted;Standard;0;21800;8.792
NearlySorted;Standard;0;21900;8.6451
NearlySorted;Standard;0;22000;8.9765
NearlySorted;Standard;0;22100;8.9298
NearlySorted;Standard;0;22200;8.7864
NearlySorted;Standard;0;22300;8.9392
NearlySorted;Standard;0;22400;8.7784
NearlySorted;Standard;0;22500;8.8725
NearlySorted;Standard;0;22600;8.9264
NearlySorted;Standard;0;22700;9.2292
NearlySorted;Standard;0;22800;9.0789
NearlySorted;Standard;0;22900;9.2227
NearlySorted;Standard;0;23000;10.9363
NearlySorted;Standard;0;23100;9.1235
NearlySorted;Standard;0;23200;12.2723
NearlySorted;Standard;0;23300;9.4033
NearlySorted;Standard;0;23400;9.1397
NearlySorted;Standard;0;23500;9.5964
NearlySorted;Standard;0;23600;9.3172
NearlySorted;Standard;0;23700;9.6091
NearlySorted;Standard;0;23800;9.5554
NearlySorted;Standard;0;23900;9.7488
NearlySorted;Standard;0;24000;9.6238
NearlySorted;Standard;0;24100;10.6778
NearlySorted;Standard;0;24200;11.0948
NearlySorted;Standard;0;24300;10.2811
NearlySorted;Standard;0;24400;10.1445
NearlySorted;Standard;0;24500;9.805
NearlySorted;Standard;0;24600;9.9907
NearlySorted;Standard;0;24700;10.0503
NearlySorted;Standard;0;24800;9.6736
NearlySorted;Standard;0;24900;10.05
NearlySorted;Standard;0;25000;9.7747
NearlySorted;Standard;0;25100;11.0101
NearlySorted;Standard;0;25200;10.1027
NearlySorted;Standard;0;25300;10.1791
NearlySorted;Standard;0;25400;10.0543
NearlySorted;Standard;0;25500;10.1094
NearlySorted;Standard;0;25600;10.4857
NearlySorted;Standard;0;25700;10.2883
NearlySorted;Standard;0;25800;10.3418
NearlySorted;Standard;0;25900;11.1132
NearlySorted;Standard;0;26000;10.3277
NearlySorted;Standard;0;26100;10.5764
NearlySorted;Standard;0;26200;10.7886
NearlySorted;Standard;0;26300;10.3958
NearlySorted;Standard;0;26400;10.6849
NearlySorted;Standard;0;26500;10.5891
NearlySorted;Standard;0;26600;11.1993
NearlySorted;Standard;0;26700;10.9474
NearlySorted;Standard;0;26800;10.6804
NearlySorted;Standard;0;26900;10.7562
NearlySorted;Standard;0;27000;11.1728
NearlySorted;Standard;0;27100;10.879
NearlySorted;Standard;0;27200;10.9077
NearlySorted;Standard;0;27300;10.7824
NearlySorted;Standard;0;27400;10.9346
NearlySorted;Standard;0;27500;11.1423
NearlySorted;Standard;0;27600;11.0147
NearlySorted;Standard;0;27700;11.0378
NearlySorted;Standard;0;27800;11.4504
NearlySorted;Standard;0;27900;11.307
NearlySorted;Standard;0;28000;11.0987
NearlySorted;Standard;0;28100;11.5145
NearlySorted;Standard;0;28200;11.1793
NearlySorted;Standard;0;28300;11.1437
NearlySorted;Standard;0;28400;11.3997
NearlySorted;Standard;0;28500;11.2427
NearlySorted;Standard;0;28600;11.9073
NearlySorted;Standard;0;28700;11.3956
NearlySorted;Standard;0;28800;12.1379
NearlySorted;Standard;0;28900;11.4325
NearlySorted;Standard;0;29000;11.5987
NearlySorted;Standard;0;29100;12.4172
NearlySorted;Standard;0;29200;11.7293
NearlySorted;Standard;0;29300;12.582
NearlySorted;Standard;0;29400;11.6324
NearlySorted;Standard;0;29500;11.8203
NearlySorted;Standard;0;29600;11.9901
NearlySorted;Standard;0;29700;11.8164
NearlySorted;Standard;0;29800;12.2147
NearlySorted;Standard;0;29900;12.0186
NearlySorted;Standard;0;30000;11.9298
NearlySorted;Standard;0;30100;12.3276
NearlySorted;Standard;0;30200;12.8276
NearlySorted;Standard;0;30300;13.0547
NearlySorted;Standard;0;30400;12.2497
NearlySorted;Standard;0;30500;12.542
NearlySorted;Standard;0;30600;13.3688
NearlySorted;Standard;0;30700;12.3045
NearlySorted;Standard;0;30800;12.8987
NearlySorted;Standard;0;30900;12.4272
NearlySorted;Standard;0;31000;13.3502
NearlySorted;Standard;0;31100;12.3909
NearlySorted;Standard;0;31200;12.628
NearlySorted;Standard;0;31300;12.5441
NearlySorted;Standard;0;31400;12.4809
NearlySorted;Standard;0;31500;12.702
NearlySorted;Standard;0;31600;13.1784
NearlySorted;Standard;0;31700;13.6001
NearlySorted;Standard;0;31800;13.2975
NearlySorted;Standard;0;31900;12.8019
NearlySorted;Standard;0;32000;12.8093
NearlySorted;Standard;0;32100;12.9344
NearlySorted;Standard;0;32200;12.8819
NearlySorted;Standard;0;32300;12.956
NearlySorted;Standard;0;32400;12.9438
NearlySorted;Standard;0;32500;13.0026
NearlySorted;Standard;0;32600;13.0019
NearlySorted;Standard;0;32700;13.0011
NearlySorted;Standard;0;32800;13.2552
NearlySorted;Standard;0;32900;13.9648
NearlySorted;Standard;0;33000;13.1637
NearlySorted;Standard;0;33100;13.8176
NearlySorted;Standard;0;33200;13.1901
NearlySorted;Standard;0;33300;13.1874
NearlySorted;Standard;0;33400;13.2945
NearlySorted;Standard;0;33500;13.732
NearlySorted;Standard;0;33600;13.4275
NearlySorted;Standard;0;33700;13.8385
NearlySorted;Standard;0;33800;14.5274
NearlySorted;Standard;0;33900;13.474
NearlySorted;Standard;0;34000;13.4992
NearlySorted;Standard;0;34100;14.369
NearlySorted;Standard;0;34200;13.6166
NearlySorted;Standard;0;34300;13.6439
NearlySorted;Standard;0;34400;13.9958
NearlySorted;Standard;0;34500;13.772
NearlySorted;Standard;0;34600;14.4971
NearlySorted;Standard;0;34700;14.0364
NearlySorted;Standard;0;34800;14.6844
NearlySorted;Standard;0;34900;13.8894
NearlySorted;Standard;0;35000;14.1179
NearlySorted;Standard;0;35100;13.9077
NearlySorted;Standard;0;35200;14.2445
NearlySorted;Standard;0;35300;14.1781
NearlySorted;Standard;0;35400;14.3917
NearlySorted;Standard;0;35500;14.3991
NearlySorted;Standard;0;35600;14.8913
NearlySorted;Standard;0;35700;14.4874
NearlySorted;Standard;0;35800;15.5549
NearlySorted;Standard;0;35900;14.4549
NearlySorted;Standard;0;36000;14.436
NearlySorted;Standard;0;36100;14.8347
NearlySorted;Standard;0;36200;15.4518
NearlySorted;Standard;0;36300;14.4882
NearlySorted;Standard;0;36400;15.0266
NearlySorted;Standard;0;36500;15.6169
NearlySorted;Standard;0;36600;14.601
NearlySorted;Standard;0;36700;14.9695
NearlySorted;Standard;0;36800;14.8493
NearlySorted;Standard;0;36900;14.9871
NearlySorted;Standard;0;37000;14.9014
NearlySorted;Standard;0;37100;14.9714
NearlySorted;Standard;0;37200;15.2921
NearlySorted;Standard;0;37300;15.0951
NearlySorted;Standard;0;37400;15.1852
NearlySorted;Standard;0;37500;16.34
NearlySorted;Standard;0;37600;15.2598
NearlySorted;Standard;0;37700;15.5221
NearlySorted;Standard;0;37800;15.3452
NearlySorted;Standard;0;37900;16.0448
NearlySorted;Standard;0;38000;15.2314
NearlySorted;Standard;0;38100;15.4353
NearlySorted;Standard;0;38200;15.3867
NearlySorted;Standard;0;38300;15.5845
NearlySorted;Standard;0;38400;15.4266
NearlySorted;Standard;0;38500;15.3939
NearlySorted;Standard;0;38600;15.3759
